iter	Passed	Remaining
1109	55267	243475
1110	55313	243409
1111	55371	243395
1112	55423	243355
1113	55477	243322
1114	55524	243264
1115	55575	243219
1116	55629	243184
1117	55677	243130
1118	55726	243073
1119	55774	243018
1120	55824	242969
1121	55877	242933
1122	55927	242882
1123	55977	242835
1124	56027	242787
1125	56081	242752
1126	56134	242718
1127	56187	242682
1128	56242	242654
1129	56290	242598
1130	56340	242550
1131	56390	242500
1132	56439	242443
1133	56488	242394
1134	56534	242326
1135	56587	242288
1136	56635	242234
1137	56685	242185
1138	56734	242129
1139	56782	242071
1140	56829	242011
1141	56880	241966
1142	56925	241895
1143	56977	241856
1144	57029	241814
1145	57074	241746
1146	57123	241691
1147	57171	241634
1148	57221	241584
1149	57267	241521
1150	57318	241473
1151	57366	241415
1152	57418	241375
1153	57466	241320
1154	57518	241280
1155	57569	241233
1156	57618	241182
1157	57672	241149
1158	57719	241087
1159	57769	241038
1160	57820	240994
1161	57870	240944
1162	57921	240897
1163	57968	240837
1164	58021	240803
1165	58073	240761
1166	58124	240717
1167	58178	240681
1168	58226	240627
1169	58272	240559
1170	58320	240504
1171	58372	240462
1172	58421	240408
1173	58470	240356
1174	58522	240317
1175	58568	240250
1176	58621	240215
1177	58674	240178
1178	58731	240156
1179	58781	240107
1180	58835	240073
1181	58882	240012
1182	58932	239964
1183	58981	239910
1184	59025	239837
1185	59068	239762
1186	59116	239704
1187	59162	239638
1188	59207	239569
1189	59255	239513
1190	59299	239438
1191	59352	239400
1192	59403	239358
1193	59454	239312
1194	59505	239268
1195	59559	239235
1196	59607	239177
1197	59654	239117
1198	59705	239071
1199	59758	239033
1200	59810	238993
1201	59861	238949
1202	59907	238884
1203	59953	238819
1204	60003	238768
1205	60055	238729
1206	60108	238689
1207	60156	238632
1208	60204	238575
1209	60254	238527
1210	60304	238478
1211	60355	238432
1212	60406	238387
1213	60453	238328
1214	60502	238276
1215	60557	238245
1216	60608	238202
1217	60660	238158
1218	60706	238094
1219	60758	238052
1220	60807	238000
1221	60861	237965
1222	60911	237918
1223	60959	237859
1224	61005	237797
1225	61049	237723
1226	61094	237656
1227	61139	237587
1228	61187	237531
1229	61230	237453
1230	61279	237403
1231	61334	237372
1232	61385	237328
1233	61436	237280
1234	61489	237245
1235	61543	237210
1236	61591	237155
1237	61642	237107
1238	61688	237046
1239	61736	236986
1240	61786	236940
1241	61837	236894
1242	61888	236849
1243	61936	236790
1244	61982	236726
1245	62030	236671
1246	62076	236607
1247	62126	236558
1248	62175	236505
1249	62220	236438
1250	62272	236396
1251	62325	236360
1252	62375	236309
1253	62428	236273
1254	62474	236208
1255	62525	236162
1256	62572	236104
1257	62617	236034
1258	62664	235975
1259	62714	235927
1260	62760	235860
1261	62809	235809
1262	62856	235750
1263	62908	235708
1264	62959	235662
1265	63004	235596
1266	63055	235550
1267	63099	235479
1268	63146	235419
